47,131,0,1.47E-11,9.41E-12
48,131,0,9.78E-07,6.26E-07
49,131,1,0.000187683,0.000120117
49,131,0,0.000187683,0.000120117
50,131,1,0.00693282,0.004437
50,131,0,0.00693282,0.004437
51,131,0,0.014956,0.00343987
52,131,0,0.000754103,0.000482626
52,131,1,0.00223833,0.00143253
53,131,0,1.08E-05,6.92E-06
54,131,0,8.46E-10,5.41E-10
54,131,1,2.41E-09,1.54E-09
55,131,0,1.62E-14,1.04E-14
56,131,0,0,0
47,132,0,1.79E-13,1.15E-13
48,132,0,1.61E-08,1.03E-08
49,132,0,1.81E-05,1.16E-05
50,132,0,0.00321367,0.000353504
51,132,0,0.0171981,0.00550338
51,132,1,0.0154315,0.00493809
52,132,0,0.0107473,0.00171957
53,132,1,5.12E-05,3.28E-05
53,132,0,5.12E-05,3.28E-05
54,132,0,1.71E-07,1.09E-07
55,132,0,2.62E-12,1.68E-12
56,132,0,0,0
48,133,0,8.76E-11,5.61E-11
49,133,0,2.70E-06,1.73E-06
50,133,0,0.00138078,0.000883698
51,133,0,0.0152368,0.00121894
52,133,0,0.0261837,0.00837879
52,133,1,0.0205108,0.00225619
53,133,1,0.00191884,0.00122806
53,133,0,0.00191884,0.00122806
54,133,0,1.45E-05,8.73E-07
54,133,1,4.23E-05,2.71E-05
55,133,0,7.52E-10,4.81E-10
56,133,0,0,0
57,133,0,0,0
48,134,0,3.02E-12,1.93E-12
49,134,0,5.97E-08,3.82E-08
50,134,0,0.000166419,0.000106508
51,134,1,0.00244227,0.00156305
51,134,0,0.00244227,0.00156305
52,134,0,0.0601889,0.00240755
53,134,0,0.00744722,0.00238311
53,134,1,0.00338058,0.00216357
54,134,0,5.06E-05,3.24E-05
54,134,1,0.000136829,8.76E-05
55,134,1,2.52E-08,1.61E-08
55,134,0,2.52E-08,1.61E-08
56,134,0,1.89E-12,1.21E-12
48,135,0,2.22E-13,1.42E-13
49,135,0,6.85E-09,4.38E-09
50,135,0,1.62E-05,1.04E-05
51,135,0,0.00245877,0.00157361
52,135,0,0.0247357,0.00568922
53,135,0,0.0360323,0.00288258
54,135,0,0.0011961,0.000275103
54,135,1,0.00185584,0.00118774
55,135,1,1.03E-06,6.59E-07
55,135,0,1.03E-06,6.59E-07
56,135,1,1.22E-10,7.84E-11
56,135,0,1.22E-10,7.84E-11
57,135,0,0,0
58,135,0,0,0
48,136,0,0,0
49,136,0,6.87E-12,4.40E-12
50,136,0,3.24E-07,2.07E-07
51,136,0,0.000140139,8.97E-05
52,136,0,0.0101984,0.000407935
53,136,0,0.0185293,0.00592938
53,136,1,0.0144876,0.00333214
54,136,0,0.0171223,0.00188345
55,136,1,5.86E-05,3.75E-05
55,136,0,5.86E-05,3.75E-05
56,136,1,3.16E-08,2.03E-08
56,136,0,3.16E-08,2.03E-08
49,137,0,5.62E-14,3.60E-14
50,137,0,3.74E-09,2.39E-09
51,137,0,8.41E-06,5.38E-06
52,137,0,0.00160813,0.0010292
53,137,0,0.0240156,0.00144094
54,137,0,0.0353304,0.00141322
55,137,0,0.00228352,0.000730726
56,137,0,2.21E-07,1.41E-07
56,137,1,6.30E-07,4.03E-07
57,137,0,2.63E-11,1.68E-11
58,137,0,0,0
50,138,0,1.75E-10,1.12E-10
51,138,0,1.14E-06,7.30E-07
52,138,0,0.00108758,0.000696052
53,138,0,0.012507,0.000750423
54,138,0,0.0468308,0.00131126
55,138,0,0.00554215,0.00127469
55,138,1,0.00114786,0.00073463
56,138,0,2.13E-05,1.36E-05
57,138,0,9.77E-08,6.25E-08
58,138,0,1.20E-12,7.68E-13
50,139,0,1.27E-12,8.10E-13
51,139,0,3.90E-08,2.50E-08
52,139,0,9.79E-05,6.27E-05
53,139,0,0.00460471,0.000368377
54,139,0,0.0379271,0.00151708
55,139,0,0.0209661,0.00943477
56,139,0,0.000200798,0.000128511
57,139,0,8.92E-08,5.71E-08
58,139,0,7.89E-13,5.05E-13
58,139,1,2.25E-12,1.44E-12
59,139,0,0,0
50,140,0,1.24E-13,7.92E-14
51,140,0,2.82E-09,1.81E-09
52,140,0,9.04E-06,5.78E-06
53,140,0,0.00111389,0.00071289
54,140,0,0.0258746,0.00103499
55,140,0,0.0304691,0.00182815
56,140,0,0.0023551,0.00150726
57,140,0,2.04E-06,1.31E-06
58,140,0,3.57E-10,2.28E-10
59,140,0,0,0
60,140,0,0,0
51,141,0,2.31E-12,1.48E-12
52,141,0,1.53E-07,9.81E-08
53,141,0,0.000168385,0.000107767
54,141,0,0.0087995,0.000967945
55,141,0,0.0349117,0.0111717
56,141,0,0.0155707,0.00700684
57,141,0,4.66E-05,2.98E-05
58,141,0,3.22E-07,1.03E-07
59,141,0,1.78E-13,1.14E-13
60,141,0,0,0
61,141,0,0,0
51,142,0,1.56E-13,9.97E-14
52,142,0,1.40E-08,8.96E-09
53,142,0,2.26E-05,1.45E-05
54,142,0,0.00566732,0.00362709
55,142,0,0.022656,0.00135936
56,142,0,0.0266072,0.00159643
57,142,0,0.000299087,0.000191416
58,142,0,7.12E-07,4.56E-07
59,142,1,7.85E-12,5.02E-12
59,142,0,7.85E-12,5.02E-12
60,142,0,0,0
52,143,0,8.71E-12,5.57E-12
53,143,0,2.68E-07,1.72E-07
54,143,1,0.000317958,0.000203493
54,143,0,0.000317958,0.000203493
55,143,0,0.0120089,0.000960709
56,143,0,0.0361057,0.00216634
57,143,0,0.00864931,0.00198934
58,143,0,1.39E-05,8.92E-06
59,143,0,1.61E-09,1.03E-09
60,143,0,1.37E-14,8.77E-15
61,143,0,0,0
62,143,0,0,0
62,143,1,0,0
53,144,0,0,0
54,144,0,0,0
55,144,0,0.00380411,0.000304329
56,144,0,0.0301256,0.00180754
57,144,0,0.01852,0.0059264
58,144,0,0.000167989,0.000107513
59,144,0,4.81E-09,3.08E-09
59,144,1,4.86E-08,3.11E-08
60,144,0,1.29E-10,4.13E-11
61,144,0,0,0
62,144,0,0,0
52,145,0,1.16E-13,7.45E-14
53,145,0,3.59E-09,2.30E-09
54,145,0,8.51E-06,5.44E-06
55,145,0,0.00137307,0.000878764
56,145,0,0.023198,0.00742336
57,145,0,0.012425,0.00397599
58,145,0,0.000918462,0.000587816
59,145,0,1.45E-06,9.28E-07
60,145,0,1.83E-10,1.17E-10
61,145,0,0,0
62,145,0,0,0
53,146,0,3.78E-12,2.42E-12
54,146,0,3.40E-07,2.18E-07
55,146,0,0.000152039,9.73E-05
56,146,0,0.0115105,0.00368335
57,146,1,0.00664231,0.00425108
57,146,0,0.00664231,0.00425108
58,146,0,0.00426799,0.00273152
59,146,0,1.83E-05,1.17E-05
60,146,0,1.22E-08,7.81E-09
61,146,0,7.23E-14,4.63E-14
62,146,0,0,0
53,147,0,3.37E-13,2.16E-13
54,147,0,2.24E-08,1.43E-08
55,147,0,2.46E-05,1.57E-05
56,147,0,0.00240278,0.00153778
57,147,0,0.0111544,0.0035694
58,147,0,0.00765368,0.00244918
59,147,0,0.000152949,9.79E-05
60,147,0,2.81E-07,1.80E-07
61,147,0,8.62E-12,5.52E-12
62,147,0,0,0
63,147,0,0,0
64,147,0,0,0
54,148,0,6.21E-11,3.97E-11
55,148,0,4.06E-07,2.60E-07
56,148,0,0.000386187,0.000247159
57,148,0,0.00422294,0.00270268
58,148,0,0.0116469,0.00267878
59,148,1,0.000279448,0.000178846
59,148,0,0.000279448,0.000178846
60,148,0,5.18E-06,3.32E-06
61,148,0,1.26E-10,8.06E-11
61,148,1,3.41E-10,2.18E-10
62,148,0,0,0
54,149,0,3.51E-13,2.25E-13
55,149,0,1.08E-08,6.92E-09
56,149,0,2.56E-05,1.64E-05
57,149,0,0.00125961,0.00080615
58,149,0,0.00757686,0.0024246
59,149,0,0.00148579,0.000950904
60,149,0,3.46E-05,2.21E-05
61,149,0,1.64E-08,1.05E-08
62,149,0,5.72E-13,3.66E-13
63,149,0,0,0
64,149,0,0,0
54,150,0,0,0
55,150,0,1.13E-10,7.23E-11
56,150,0,1.49E-06,9.54E-07
57,150,0,0.000189018,0.000120972
58,150,0,0.00456916,0.00292426
59,150,0,0.00189731,0.00121428
60,150,0,0.000201988,0.000129272
61,150,0,2.51E-07,1.61E-07
62,150,0,4.57E-11,2.92E-11
55,151,0,3.24E-13,2.07E-13
56,151,0,2.15E-08,1.38E-08
57,151,0,2.36E-05,1.51E-05
58,151,0,0.00136694,0.00087484
59,151,0,0.00219108,0.00140229
60,151,0,0.000534985,0.000342391
61,151,0,3.19E-06,2.04E-06
62,151,0,1.63E-09,1.04E-09
63,151,0,9.55E-12,3.06E-12
64,151,0,0,0
65,151,0,0,0
55,152,0,9.15E-15,5.85E-15
56,152,0,8.22E-10,5.26E-10
57,152,0,1.37E-06,8.77E-07
58,152,0,0.000353657,0.00022634
59,152,0,0.00120274,0.000769753
60,152,0,0.00113424,0.000725914
61,152,2,5.50E-06,3.52E-06
61,152,0,5.50E-06,3.52E-06
61,152,1,5.50E-06,3.52E-06
62,152,0,4.09E-08,2.62E-08
63,152,2,3.12E-13,2.00E-13
63,152,0,3.12E-13,2.00E-13
63,152,1,3.12E-13,2.00E-13
64,152,0,0,0
56,153,0,1.93E-12,1.24E-12
57,153,0,5.95E-08,3.81E-08
58,153,0,3.93E-05,2.52E-05
59,153,0,0.000547675,0.000350512
60,153,0,0.0010181,0.000458146
61,153,0,6.50E-05,4.16E-05
62,153,0,4.19E-07,2.68E-07
63,153,0,4.60E-11,2.94E-11
64,153,0,0,0
65,153,0,0,0
56,154,0,3.65E-14,2.34E-14
57,154,0,8.00E-10,5.12E-10
58,154,0,2.46E-06,1.57E-06
59,154,0,7.91E-05,5.06E-05
60,154,0,0.000566145,0.000362333
61,154,0,3.67E-05,2.35E-05
61,154,1,3.67E-05,2.35E-05
62,154,0,2.09E-06,1.34E-06
63,154,1,3.10E-10,1.99E-10
63,154,0,3.10E-10,1.99E-10
64,154,0,2.58E-14,1.65E-14
56,155,0,1.60E-15,1.02E-15
57,155,0,4.93E-11,3.16E-11
58,155,0,1.17E-07,7.48E-08
59,155,0,1.66E-05,1.06E-05
60,155,0,0.000250118,0.000160075
61,155,0,0.000119959,7.68E-05
62,155,0,7.93E-06,5.08E-06
63,155,0,1.10E-08,7.04E-09
64,155,0,1.33E-12,8.51E-13
65,155,0,0,0
66,155,0,0,0
57,156,0,4.62E-14,2.96E-14
58,156,0,4.15E-09,2.66E-09
59,156,0,1.48E-06,9.47E-07
60,156,0,9.08E-05,5.81E-05
61,156,0,8.71E-05,5.58E-05
62,156,0,2.31E-05,1.48E-05
63,156,0,8.28E-08,5.30E-08
64,156,0,3.92E-11,2.51E-11
65,156,0,0,0
65,156,1,0,0
66,156,0,0,0
57,157,0,9.98E-16,6.39E-16
58,157,0,6.64E-11,4.25E-11
59,157,0,1.11E-07,7.10E-08
60,157,0,1.60E-05,1.03E-05
61,157,0,5.75E-05,3.68E-05
62,157,0,3.16E-05,2.03E-05
63,157,0,4.74E-07,3.03E-07
64,157,0,6.50E-10,4.16E-10
65,157,0,1.48E-14,9.47E-15
66,157,0,0,0
58,158,0,9.25E-13,5.92E-13
59,158,0,4.04E-09,2.59E-09
60,158,0,2.62E-06,1.68E-06
61,158,0,2.02E-05,1.29E-05
62,158,0,4.07E-05,2.61E-05
63,158,0,1.39E-06,8.90E-07
64,158,0,8.78E-09,5.62E-09
65,158,0,4.83E-13,3.09E-13
65,158,1,4.77E-14,3.05E-14
66,158,0,0,0
58,159,0,3.31E-15,2.12E-15
59,159,0,1.02E-10,6.53E-11
60,159,0,1.67E-07,1.07E-07
61,159,0,5.34E-06,3.42E-06
62,159,0,2.16E-05,1.38E-05
63,159,0,2.89E-06,1.85E-06
64,159,0,4.48E-08,2.87E-08
65,159,0,1.27E-11,8.13E-12
66,159,0,0,0
67,159,0,0,0
67,159,1,0,0
58,160,0,0,0
59,160,0,9.11E-13,5.83E-13
60,160,0,7.06E-09,4.52E-09
61,160,0,5.42E-07,3.47E-07
62,160,0,8.34E-06,5.34E-06
63,160,0,2.28E-06,1.46E-06
64,160,0,1.51E-07,9.66E-08
65,160,0,1.12E-10,7.17E-11
66,160,0,1.20E-14,7.68E-15
59,161,0,1.95E-15,1.25E-15
60,161,0,1.30E-10,8.32E-11
61,161,0,4.53E-08,2.90E-08
62,161,0,1.53E-06,9.79E-07
63,161,0,1.53E-06,9.79E-07
64,161,0,2.26E-07,1.45E-07
65,161,0,7.66E-10,4.90E-10
66,161,0,2.15E-13,1.38E-13
67,161,0,0,0
67,161,1,0,0
68,161,0,0,0
59,162,0,1.20E-17,7.69E-18
60,162,0,1.08E-12,6.91E-13
61,162,0,9.61E-10,6.15E-10
62,162,0,1.38E-07,8.83E-08
63,162,0,2.79E-07,1.79E-07
64,162,0,1.59E-07,1.02E-07
65,162,0,6.49E-10,4.15E-10
65,162,1,6.49E-10,4.15E-10
66,162,0,1.73E-12,1.11E-12
67,162,0,0,0
67,162,1,0,0
68,162,0,0,0
60,163,0,0,0
61,163,0,1.64E-11,1.05E-11
62,163,0,5.52E-09,3.53E-09
63,163,0,4.20E-08,2.69E-08
64,163,0,4.71E-08,3.01E-08
65,163,0,1.57E-09,1.00E-09
66,163,0,5.18E-12,3.32E-12
67,163,0,0,0
67,163,1,0,0
68,163,0,0,0
60,164,0,0,0
61,164,0,4.01E-13,2.57E-13
62,164,0,6.21E-10,3.97E-10
63,164,0,1.06E-08,6.78E-09
64,164,0,4.33E-08,2.77E-08
65,164,0,3.16E-09,2.02E-09
66,164,0,4.70E-11,3.01E-11
67,164,0,0,0
67,164,1,0,0
68,164,0,0,0
61,165,0,0,0
62,165,0,2.66E-11,1.70E-11
63,165,0,1.95E-09,1.25E-09
64,165,0,1.64E-08,1.05E-08
65,165,0,4.53E-09,2.90E-09
66,165,0,1.41E-10,9.02E-11
66,165,1,1.93E-11,1.24E-11
67,165,0,1.12E-13,7.17E-14
68,165,0,0,0
69,165,0,0,0
61,166,0,1.07E-17,6.87E-18
62,166,0,9.64E-13,6.17E-13
63,166,0,1.74E-10,1.11E-10
64,166,0,5.78E-09,3.70E-09
65,166,0,3.20E-09,2.05E-09
66,166,0,4.68E-10,3.00E-10
67,166,0,2.23E-13,1.43E-13
67,166,1,6.03E-13,3.86E-13
68,166,0,0,0
69,166,0,0,0
70,166,0,0,0
61,167,0,2.47E-19,1.58E-19
62,167,0,1.64E-14,1.05E-14
63,167,0,1.38E-11,8.83E-12
64,167,0,1.04E-09,6.66E-10
65,167,0,2.12E-09,1.36E-09
66,167,0,6.64E-10,4.25E-10
67,167,0,5.23E-12,3.35E-12
68,167,0,0,0
68,167,1,0,0
69,167,0,0,0
70,167,0,0,0
62,168,0,0,0
63,168,0,2.81E-13,1.80E-13
64,168,0,9.35E-11,5.98E-11
65,168,0,3.97E-10,2.54E-10
66,168,0,4.62E-10,2.96E-10
67,168,0,8.53E-12,5.46E-12
68,168,0,2.74E-14,1.75E-14
69,168,0,0,0
70,168,0,0,0
62,169,0,3.70E-19,2.37E-19
63,169,0,1.14E-14,7.30E-15
64,169,0,9.47E-12,6.06E-12
65,169,0,1.62E-10,1.04E-10
66,169,0,3.77E-10,2.41E-10
67,169,0,2.82E-11,1.80E-11
68,169,0,2.26E-13,1.45E-13
69,169,0,0,0
70,169,0,0,0
70,169,1,0,0
71,169,0,0,0
71,169,1,0,0
62,170,0,0,0
63,170,0,0,0
64,170,0,4.36E-13,2.79E-13
65,170,0,1.74E-11,1.11E-11
66,170,0,1.50E-10,9.60E-11
67,170,0,1.18E-11,7.55E-12
67,170,1,1.18E-11,7.55E-12
68,170,0,8.31E-13,5.32E-13
69,170,0,0,0
70,170,0,0,0
62,171,0,1.68E-22,1.08E-22
63,171,0,5.19E-18,3.32E-18
64,171,0,1.23E-14,7.87E-15
65,171,0,2.18E-12,1.40E-12
66,171,0,4.01E-11,2.57E-11
67,171,0,2.31E-11,1.48E-11
68,171,0,1.88E-12,1.20E-12
69,171,0,0,0
70,171,0,0,0
71,171,0,0,0
71,171,1,0,0
72,171,0,0,0
64,172,0,0,0
65,172,0,1.05E-13,6.72E-14
66,172,0,7.73E-12,4.95E-12
67,172,0,8.68E-12,5.56E-12
68,172,0,2.71E-12,1.73E-12
69,172,0,1.13E-14,7.23E-15
70,172,0,0,0
71,172,0,0,0
71,172,1,0,0
72,172,0,0,0
